,symbol,buy_date,price,adjbase,size,p&l,p&l_ratio,industry
0,FSM,2026-02-20,12.270000457763672,11.739999771118164,814.0,-431.42055892944336,-0.04319483837591524,黄金
1,CDE,2026-02-19,24.059999465942383,22.6299991607666,415.0,-593.4501266479492,-0.059434760470381036,黄金
2,HYMC,2026-02-18,40.68000030517578,41.060001373291016,245.0,93.10026168823242,0.009341225793129756,黄金
3,AGI,2026-02-13,45.25,49.380001068115234,220.0,908.6002349853516,0.09127074183680076,黄金
4,BTG,2026-01-22,5.199999809265137,5.210000038146973,1923.0,19.230440139770508,0.0019231210093542616,黄金
5,AU,2025-11-07,69.41000366210938,107.88999938964844,144.0,5541.119384765625,0.5543868851363443,黄金
6,BROS,2026-02-26,53.90999984741211,54.5099983215332,185.0,110.99971771240234,0.011129632272664457,餐厅
7,DPZ,2026-02-24,414.20001220703125,402.70001220703125,24.0,-276.0,-0.027764364222789807,餐厅
8,CAVA,2026-02-06,69.95999908447266,79.37000274658203,142.0,1336.2205200195312,0.13450548578120106,餐厅
9,MCD,2026-01-23,309.25,327.45001220703125,32.0,582.400390625,0.05885210091198464,餐厅
10,SBUX,2025-12-18,89.41999816894531,98.69000244140625,111.0,1028.970474243164,0.10366813310537865,餐厅
11,ONON,2026-02-18,47.33000183105469,43.369998931884766,211.0,-835.5606117248535,-0.08366792195160323,鞋类与配饰
12,PRMB,2026-02-25,19.6299991607666,21.8700008392334,509.0,1140.1608543395996,0.11411114489213861,非酒精饮料
13,COKE,2026-01-16,151.47999572753906,203.61000061035156,66.0,3440.580322265625,0.3441378819192511,非酒精饮料
14,KIM,2026-01-08,20.6200008392334,23.510000228881836,484.0,1398.7597045898438,0.14015515383247099,零售地产REIT
15,REG,2025-12-19,68.55000305175781,79.30999755859375,145.0,1560.199203491211,0.15696563133209113,零售地产REIT
16,FCX,2025-12-09,44.79999923706055,62.65999984741211,223.0,3982.7801361083984,0.39866073469878494,铜业
17,UNP,2026-02-02,235.22999572753906,260.20001220703125,42.0,1048.7406921386719,0.10615149824860909,铁路
18,LEU,2026-03-02,207.99000549316406,194.27999877929688,48.0,-658.080322265625,-0.0659166611460943,铀业
19,CLF,2026-03-02,11.399999618530273,10.680000305175781,877.0,-631.4393978118896,-0.06315783661818376,钢铁
20,ICE,2026-02-26,162.88999938964844,164.0,61.0,67.71003723144531,0.006814418408194202,金融证券交易所
21,NDAQ,2026-02-26,88.58999633789062,88.2699966430664,112.0,-35.8399658203125,-0.003612142544895359,金融证券交易所
22,SPGI,2026-02-25,423.6099853515625,451.1099853515625,23.0,632.5,0.0649182053090113,金融证券交易所
23,MSCI,2026-02-25,556.8699951171875,566.2100219726562,17.0,158.78045654296875,0.01677236507149795,金融证券交易所
24,MORN,2026-02-24,162.94000244140625,189.86000061035156,61.0,1642.119888305664,0.16521417555904255,金融证券交易所
25,FDS,2026-02-24,201.49000549316406,224.9199981689453,49.0,1148.0696411132812,0.11628364701482008,金融证券交易所
26,COIN,2026-02-20,171.35000610351562,205.7100067138672,58.0,1992.8800354003906,0.2005252371546113,金融证券交易所
27,MCO,2026-02-20,447.82000732421875,470.04998779296875,22.0,489.0595703125,0.049640436124274455,金融证券交易所
28,TRU,2026-02-18,75.72000122070312,78.41000366210938,132.0,355.080322265625,0.035525652377707016,金融证券交易所
29,CME,2026-01-14,275.2300109863281,316.80999755859375,36.0,1496.8795166015625,0.1510735926771121,金融证券交易所
30,CRS,2026-02-05,348.6499938964844,395.0,28.0,1297.8001708984375,0.1329413650220144,金属加工
31,ASTS,2026-03-02,86.91999816894531,93.86000061035156,115.0,798.1002807617188,0.07984356405435092,通信设备
32,NOK,2026-02-04,6.800000190734863,7.849999904632568,1470.0,1543.4995794296265,0.1544117183008834,通信设备
33,CSCO,2026-01-26,77.01000213623047,80.01000213623047,129.0,387.0,0.03895597866226531,通信设备
34,VIAV,2026-01-15,18.850000381469727,31.0,530.0,6439.499797821045,0.6445623009363007,通信设备
35,MSI,2025-12-05,374.3900146484375,467.1600036621094,26.0,2412.0197143554688,0.24778969893410602,通信设备
36,CHKP,2026-03-05,164.47999572753906,164.47999572753906,60.0,0.0,0.0,软件
37,GDDY,2026-03-04,88.66000366210938,93.12999725341797,112.0,500.6392822265625,0.0504172502444745,软件
38,PATH,2026-03-04,11.069999694824219,11.550000190734863,903.0,433.440447807312,0.043360479597399526,软件
39,AFRM,2026-03-04,50.720001220703125,52.5,197.0,350.6597595214844,0.035094612311844874,软件
40,MNDY,2026-03-04,76.02999877929688,78.4800033569336,131.0,320.95059967041016,0.03222418278275522,软件
41,KVYO,2026-03-03,18.8700008392334,21.18000030517578,529.0,1221.9897174835205,0.12241650043488962,软件
42,ZS,2026-03-03,154.6699981689453,161.9600067138672,64.0,466.560546875,0.04713266070488365,软件
43,PANW,2026-03-03,156.08999633789062,163.16000366210938,64.0,452.48046875,0.045294429432326894,软件
44,FTNT,2026-03-03,81.0999984741211,84.41999816894531,123.0,408.3599624633789,0.040937111680509175,软件
45,ORCL,2026-03-03,149.00999450683594,154.7899932861328,67.0,387.2599182128906,0.03878933623497123,软件
46,NICE,2026-03-03,123.5,128.1300048828125,80.0,370.400390625,0.03748991807945344,软件
47,ADP,2026-03-03,216.27000427246094,222.6999969482422,46.0,295.7796630859375,0.02973131987217528,软件
48,CDNS,2026-03-03,300.6300048828125,299.8399963378906,33.0,-26.070281982421875,-0.0026278433026996934,软件
49,GTLB,2026-03-03,26.700000762939453,25.3700008392334,374.0,-497.41997146606445,-0.049812729801571455,软件
50,INTA,2026-03-02,23.440000534057617,28.280000686645508,426.0,2061.8400650024414,0.20648464344339565,软件
51,SHOP,2026-03-02,119.37999725341797,134.7899932861328,83.0,1279.029670715332,0.12908356833015122,软件
52,TOST,2026-03-02,27.56999969482422,30.510000228881836,362.0,1064.2801933288574,0.10663767017050604,软件
53,U,2026-03-02,18.8700008392334,20.729999542236328,529.0,983.9393138885498,0.09856908427559417,软件
54,WDAY,2026-03-02,134.00999450683594,147.17999267578125,74.0,974.5798645019531,0.09827623840603547,软件
55,ADBE,2026-03-02,260.8800048828125,281.739990234375,38.0,792.679443359375,0.07996007728124975,软件
56,DT,2026-03-02,36.709999084472656,39.209999084472656,272.0,680.0,0.06810133648457194,软件
57,PAYX,2026-03-02,94.25,98.37999725341797,106.0,437.7797088623047,0.04381959950576094,软件
58,RBRK,2026-03-02,53.689998626708984,55.880001068115234,186.0,407.3404541015625,0.040789765271418664,软件
59,MSFT,2026-03-02,398.54998779296875,410.67999267578125,25.0,303.2501220703125,0.030435341247867675,软件
60,FFIV,2026-03-02,278.0,283.6400146484375,35.0,197.4005126953125,0.020287822476393883,软件
61,INTU,2026-02-27,409.0299987792969,466.7900085449219,24.0,1386.240234375,0.14121216032565612,软件
62,ADSK,2026-02-27,245.8699951171875,264.1199951171875,40.0,730.0,0.07422621858068372,软件
63,XYZ,2026-02-27,63.70000076293945,67.37999725341797,156.0,574.0794525146484,0.05777074484149035,软件
64,FICO,2026-02-27,1409.3599853515625,1475.0899658203125,7.0,460.10986328125,0.046638177010789594,软件
65,TYL,2026-02-27,354.69000244140625,365.8699951171875,28.0,313.039794921875,0.03152046180841579,软件
66,WIX,2026-02-26,71.30999755859375,92.94000244140625,140.0,3028.20068359375,0.30332359589606817,软件
67,DAVE,2026-02-26,192.3300018310547,218.2100067138672,51.0,1319.8802490234375,0.13456041510125835,软件
68,NOW,2026-02-26,109.30000305175781,120.37999725341797,91.0,1008.2794723510742,0.10137231374470637,软件
69,BRZE,2026-02-26,19.200000762939453,20.8799991607666,520.0,873.5991668701172,0.08749991307656316,软件
70,HUBS,2026-02-26,268.5199890136719,291.4700012207031,37.0,849.1504516601562,0.0854685429242392,软件
71,PCOR,2026-02-26,55.810001373291016,59.27000045776367,179.0,619.3398361206055,0.06199604012424389,软件
72,VRSN,2026-02-26,225.2899932861328,238.6999969482422,44.0,590.0401611328125,0.05952329913329886,软件
73,DOCU,2026-02-26,45.720001220703125,48.22999954223633,218.0,547.1796340942383,0.05489934939889317,软件
74,PAYC,2026-02-26,129.7899932861328,136.66000366210938,77.0,528.9907989501953,0.05293174151593532,软件
75,ROP,2026-02-26,352.1499938964844,366.0199890136719,28.0,388.35986328125,0.039386611834684934,软件
76,PCTY,2026-02-26,112.62000274658203,115.98999786376953,88.0,296.5595703125,0.029923592923103332,软件
77,UBER,2026-02-26,74.80000305175781,75.44000244140625,133.0,85.11991882324219,0.008556141223758912,软件
78,SSNC,2026-02-26,75.54000091552734,75.4800033569336,132.0,-7.919677734375,-0.0007942488465262571,软件
79,CHYM,2026-02-26,23.969999313354492,23.110000610351562,417.0,-358.6194591522217,-0.03587812797824302,软件
80,SOUN,2026-02-26,8.979999542236328,8.270000457763672,1113.0,-790.2289810180664,-0.07906449005183826,软件
81,GWRE,2026-02-25,135.88999938964844,160.83999633789062,73.0,1821.3497772216797,0.1836043642674619,软件
82,ZETA,2026-02-25,17.850000381469727,18.90999984741211,560.0,593.5997009277344,0.05938372231312552,软件
83,CRM,2026-02-25,191.75,201.38999938964844,52.0,501.27996826171875,0.05027379081954857,软件
84,SNPS,2026-02-25,449.1700134277344,442.29998779296875,22.0,-151.14056396484375,-0.015294933832155567,软件
85,TWLO,2026-02-24,113.8499984741211,125.4800033569336,87.0,1011.8104248046875,0.1021519985830837,软件
86,TTAN,2026-02-20,66.54000091552734,78.26000213623047,150.0,1758.0001831054688,0.17613467176806458,软件
87,PLTR,2026-02-20,135.24000549316406,152.6699981689453,73.0,1272.3894653320312,0.1288819281855344,软件
88,IOT,2026-02-20,26.790000915527344,29.579999923706055,373.0,1040.6696300506592,0.10414329648498229,软件
89,DBX,2026-02-20,25.479999542236328,26.3799991607666,392.0,352.7998504638672,0.03532180669934511,软件
90,MSTR,2026-02-19,129.4499969482422,139.80999755859375,77.0,797.7200469970703,0.08003090656304757,软件
91,FIG,2026-02-13,22.530000686645508,30.299999237060547,443.0,3442.1093578338623,0.34487342714643804,软件
92,YOU,2026-02-12,32.619998931884766,47.41999816894531,306.0,4528.799766540527,0.45370937221564805,软件
93,BSY,2026-02-11,33.91999816894531,39.5099983215332,294.0,1643.4600448608398,0.16479954169648772,软件
94,PTC,2026-02-10,162.72000122070312,164.25,61.0,93.32992553710938,0.009402647294856403,软件
95,SAP,2026-02-10,212.2100067138672,199.47999572753906,47.0,-598.3105163574219,-0.05998779785862126,软件
96,RNG,2026-02-06,27.030000686645508,39.66999816894531,369.0,4664.159070968628,0.4676284558344368,软件
97,SCHW,2026-02-26,97.5199966430664,95.41000366210938,102.0,-215.2192840576172,-0.021636516136068283,资本市场
98,GLXY,2026-02-24,21.540000915527344,22.729999542236328,464.0,552.1593627929688,0.05524598774975729,资本市场
99,CLSK,2026-02-24,10.350000381469727,9.949999809265137,966.0,-386.4005527496338,-0.03864739685621043,资本市场
100,HOOD,2026-02-20,76.11000061035156,80.55999755859375,131.0,582.9496002197266,0.05846796626666894,资本市场
101,BMNR,2026-02-19,19.959999084472656,20.350000381469727,501.0,195.39064979553223,0.019539144032349246,资本市场
102,WULF,2026-02-09,16.649999618530273,15.229999542236328,600.0,-852.0000457763672,-0.08528529182148362,资本市场
103,XP,2026-01-05,17.020000457763672,19.709999084472656,587.0,1579.0291938781738,0.15804926876379383,资本市场
104,TPG,2026-03-03,44.36000061035156,44.959999084472656,225.0,134.9996566772461,0.013525664244041556,资产管理
105,OWL,2026-03-02,10.680000305175781,10.420000076293945,936.0,-243.36021423339844,-0.024344590023638264,资产管理
106,CG,2026-02-26,54.459999084472656,51.66999816894531,183.0,-510.5701675415039,-0.051230278414066556,资产管理
107,PPTA,2026-02-20,30.18000030517578,32.40999984741211,331.0,738.1298484802246,0.07388997745814767,贵金属采矿
108,PGR,2026-02-17,207.89999389648438,210.5800018310547,48.0,128.640380859375,0.012890851434583095,财产意外保险
109,ALL,2026-01-30,198.99000549316406,211.6199951171875,50.0,631.4994812011719,0.06347047226177054,财产意外保险
110,CB,2026-01-29,306.1700134277344,332.4599914550781,32.0,841.279296875,0.08586725307620303,财产意外保险
111,IQV,2026-02-27,178.80999755859375,178.5,55.0,-17.04986572265625,-0.0017336701684824293,诊断与研究
112,TMO,2026-02-27,521.1099853515625,518.8400268554688,19.0,-43.12921142578125,-0.00435600652434695,诊断与研究
113,MEDP,2026-02-26,447.0899963378906,469.3800048828125,22.0,490.38018798828125,0.04985575326555972,诊断与研究
114,ICLR,2026-02-26,106.12999725341797,110.5999984741211,94.0,420.18011474609375,0.042118169569246515,诊断与研究
115,CRL,2026-02-26,175.4600067138672,181.32000732421875,56.0,328.1600341796875,0.033397927653723423,诊断与研究
116,ILMN,2026-02-23,120.54000091552734,128.24000549316406,82.0,631.4003753662109,0.06387924771157724,诊断与研究
117,RVTY,2026-02-20,100.33000183105469,96.56999969482422,99.0,-372.2402114868164,-0.03747634872529876,诊断与研究
118,ANET,2026-03-05,139.39999389648438,139.39999389648438,71.0,0.0,0.0,计算机硬件
119,HPQ,2026-03-03,19.010000228881836,19.34000015258789,526.0,173.57995986938477,0.017359280364693884,计算机硬件
120,SMCI,2026-02-25,33.599998474121094,32.2400016784668,297.0,-403.9190483093262,-0.040476096946902365,计算机硬件
121,DELL,2026-02-20,122.2699966430664,146.52000427246094,81.0,1964.250617980957,0.1983316291419043,计算机硬件
122,RGTI,2026-02-19,16.600000381469727,16.969999313354492,602.0,222.7393569946289,0.02228909177000915,计算机硬件
123,ABBV,2026-02-12,227.5,232.35000610351562,43.0,208.55026245117188,0.021318708147321428,药品制造商
124,UTHR,2026-01-30,469.489990234375,485.05999755859375,21.0,326.97015380859375,0.033163661948247325,药品制造商
125,JNJ,2026-01-12,209.72000122070312,239.6300048828125,47.0,1405.7701721191406,0.14261874636665184,药品制造商
126,GILD,2026-01-07,124.3499984741211,145.13999938964844,80.0,1663.2000732421875,0.16718939421502302,药品制造商
127,AMGN,2026-01-07,341.6400146484375,367.6000061035156,29.0,752.8397521972656,0.07598639018263739,药品制造商
128,NVS,2025-11-25,130.25999450683594,161.00999450683594,76.0,2337.0,0.2360663388357986,药品制造商
129,BMY,2025-10-30,45.619998931884766,60.7400016784668,219.0,3311.280601501465,0.33143364972800005,药品制造商
130,LUNR,2026-03-02,17.989999771118164,17.670000076293945,555.0,-177.5998306274414,-0.017787643073679107,航空航天国防
131,DRS,2026-02-19,41.06999969482422,45.81999969482422,243.0,1154.25,0.11565619759667568,航空航天国防
132,KRMN,2026-02-19,88.45999908447266,97.13999938964844,113.0,980.8400344848633,0.09812345009055486,航空航天国防
133,LOAR,2026-02-19,67.26000213623047,72.45999908447266,148.0,769.5995483398438,0.0773118760494529,航空航天国防
134,PL,2026-02-19,25.110000610351562,24.59000015258789,398.0,-206.9601821899414,-0.02070889865089459,航空航天国防
135,HWM,2026-02-06,223.16000366210938,252.38999938964844,44.0,1286.1198120117188,0.13098223358965674,航空航天国防
136,EXPD,2026-03-05,146.72000122070312,146.72000122070312,68.0,0.0,0.0,综合货运物流
137,CHRW,2026-03-03,193.32000732421875,184.80999755859375,51.0,-434.010498046875,-0.04402032610806177,综合货运物流
138,LSTR,2026-02-27,162.9499969482422,159.52000427246094,61.0,-209.22955322265625,-0.021049357103521266,综合货运物流
139,HON,2025-12-11,193.85000610351562,238.3800048828125,51.0,2271.0299377441406,0.22971368262695807,综合企业
140,HSY,2026-01-09,189.07000732421875,226.5800018310547,52.0,1950.5197143554688,0.19839209316004044,糖果制造
141,FTAI,2025-11-26,170.11000061035156,273.4700012207031,58.0,5994.880035400391,0.6076068440391381,租赁服务
142,FTV,2026-02-27,59.20000076293945,58.029998779296875,168.0,-196.56033325195312,-0.019763546766286968,科学技术仪器
143,GRMN,2026-02-13,214.74000549316406,240.1699981689453,46.0,1169.7796630859375,0.11842224096706926,科学技术仪器
144,TRMB,2026-02-10,68.87999725341797,70.45999908447266,145.0,229.1002655029297,0.02293847116807608,科学技术仪器
145,COHR,2026-01-15,195.9600067138672,253.8699951171875,51.0,2953.409408569336,0.29551942447051516,科学技术仪器
146,KEYS,2025-10-27,167.77000427246094,284.510009765625,59.0,6887.66032409668,0.6958335967112249,科学技术仪器
147,DINO,2026-03-02,53.810001373291016,57.16999816894531,185.0,621.5994071960449,0.06244186414985032,石油天然气炼制销售
148,DK,2026-02-03,30.850000381469727,44.790000915527344,324.0,4516.560173034668,0.4518638690983867,石油天然气炼制销售
149,PARR,2026-02-03,39.25,49.970001220703125,254.0,2722.8803100585938,0.2731210502089968,石油天然气炼制销售
150,MPC,2026-01-08,177.07000732421875,217.36000061035156,56.0,2256.2396240234375,0.22753708487943428,石油天然气炼制销售
151,VLO,2026-01-05,180.57000732421875,228.02999877929688,55.0,2610.299530029297,0.2628342998838247,石油天然气炼制销售
152,PBF,2025-12-31,27.1200008392334,45.65999984741211,368.0,6822.719635009766,0.6836282608574868,石油天然气炼制销售
153,SM,2026-01-22,18.75,25.579999923706055,533.0,3640.389959335327,0.3642666625976563,石油天然气勘探生产
154,AR,2026-01-21,34.2400016784668,38.90999984741211,292.0,1363.6394653320312,0.13639012675289175,石油天然气勘探生产
155,APA,2026-01-08,25.3700008392334,32.380001068115234,394.0,2761.9400901794434,0.27631060295596177,石油天然气勘探生产
156,ENB,2026-01-22,47.47999954223633,53.880001068115234,210.0,1344.0003204345703,0.13479363074099693,石油天然气
157,CRGY,2026-01-21,8.630000114440918,11.710000038146973,1158.0,3566.6399116516113,0.35689454030854184,石油天然气
158,DTM,2026-01-16,120.44000244140625,141.77000427246094,83.0,1770.390151977539,0.17710064263268077,石油天然气
159,SHEL,2026-01-14,74.3499984741211,82.94000244140625,134.0,1151.060531616211,0.11553468922094286,石油天然气
160,FRO,2026-01-07,23.670000076293945,34.91999816894531,422.0,4747.499195098877,0.47528508898986027,石油天然气
161,BP,2026-01-05,36.119998931884766,39.29999923706055,276.0,877.6800842285156,0.0880398781620298,石油天然气
162,PBR,2026-01-02,11.920000076293945,16.729999542236328,838.0,4030.779552459717,0.40352344254664324,石油天然气
163,LNG,2025-12-29,192.60000610351562,249.5399932861328,51.0,2903.9393463134766,0.2956385533654344,石油天然气
164,AG,2025-11-26,13.510000228881836,26.270000457763672,740.0,9442.400169372559,0.9444855671877309,白银
